EXP_NAME,EXPERIMENTER,MODEL_FAMILY,FEATURE_MODE,SEED,N_FOLDS,VALIDATION_SCHEME,VAL_SIZE,VAL_STRATIFY,USE_STRATIFIED_KFOLD,SHUFFLE_FOLDS,FOLDS_RANDOM_STATE,SCALER_TYPE,MISSING_VALUE_STRATEGY,MISSING_FILL_VALUE,USE_PCA,PCA_N_COMPONENTS,PCA_WHITEN,PCA_SVD_SOLVER,IMBALANCE_MODE,DECISION_THRESHOLD,train_size,cv_f1_macro_mean,cv_f1_macro_std,cv_f1_macro_per_fold,public_lb_f1_macro,private_lb_f1_macro,train_time_sec,submission_file,notes,config_json
84A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.07963991165161133,,,
85A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.07761931419372559,,,
86A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.03084087371826172,,,
87A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.4640979420159231,0.00026555009057629677,"[0.4642857142857143, 0.4642857142857143, 0.4637223974763407]",,,0.1768627166748047,,,
88A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.5768220136381407,0.04643646203741943,"[0.6167350408397088, 0.6020288724151385, 0.5117021276595745]",,,0.04752683639526367,,,
89A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.10330557823181152,,,
90A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.03690624237060547,,,
91A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.4640979420159231,0.00026555009057629677,"[0.4642857142857143, 0.4642857142857143, 0.4637223974763407]",,,0.11245512962341309,,,
92A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.5768220136381407,0.04643646203741943,"[0.6167350408397088, 0.6020288724151385, 0.5117021276595745]",,,0.03629469871520996,,,
93A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.08483266830444336,,,
94A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.03496694564819336,,,
95A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.4640979420159231,0.00026555009057629677,"[0.4642857142857143, 0.4642857142857143, 0.4637223974763407]",,,0.1839599609375,,,
96A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.5768220136381407,0.04643646203741943,"[0.6167350408397088, 0.6020288724151385, 0.5117021276595745]",,,0.04396653175354004,,,
97A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.10812234878540039,,,
98A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.05473732948303223,,,
