commit_hash,date,author,subject,status,file_path,old_file_path
fb872a0ab55cf479f016c9ff46f487983818e962,2025-11-16,maryamihsan,"experiment 5B, 0.4973",M,logs/xgboost_Maryam.csv,
fb872a0ab55cf479f016c9ff46f487983818e962,2025-11-16,maryamihsan,"experiment 5B, 0.4973",M,submissions/submission.csv,
84a65ff794f8eafa166be6d463d447aa8655c97a,2025-11-16,Zuha Aqib,Merge branches 'main' and 'main' of https://github.com/z-aqib/ml-competition,,,
7de465fde9dfad4550ce6ca113b8c5f31c346a8f,2025-11-16,Zuha Aqib,"experiment 17A, 0.3820",M,01-lightgbm.ipynb,
7de465fde9dfad4550ce6ca113b8c5f31c346a8f,2025-11-16,Zuha Aqib,"experiment 17A, 0.3820",M,logs/experiments_log_Zuha.csv,
7de465fde9dfad4550ce6ca113b8c5f31c346a8f,2025-11-16,Zuha Aqib,"experiment 17A, 0.3820",M,logs/lightgbm_Zuha.csv,
7de465fde9dfad4550ce6ca113b8c5f31c346a8f,2025-11-16,Zuha Aqib,"experiment 17A, 0.3820",A,submissions/submission_Zuha.csv,
3ca7757b7574e0fb78548938362d4ef21664cc3c,2025-11-16,maryamihsan,experiment 4B,M,02-xgboost.ipynb,
3ca7757b7574e0fb78548938362d4ef21664cc3c,2025-11-16,maryamihsan,experiment 4B,M,logs/experiments_log_Maryam.csv,
3ca7757b7574e0fb78548938362d4ef21664cc3c,2025-11-16,maryamihsan,experiment 4B,M,logs/xgboost_Maryam.csv,
3ca7757b7574e0fb78548938362d4ef21664cc3c,2025-11-16,maryamihsan,experiment 4B,M,submissions/submission.csv,
2a7b0f4a050bfa467419a61a93f96aad30d0495b,2025-11-16,maryamihsan,"experiment 3B, 0.4491",M,02-xgboost.ipynb,
2a7b0f4a050bfa467419a61a93f96aad30d0495b,2025-11-16,maryamihsan,"experiment 3B, 0.4491",M,logs/experiments_log_Maryam.csv,
2a7b0f4a050bfa467419a61a93f96aad30d0495b,2025-11-16,maryamihsan,"experiment 3B, 0.4491",M,logs/xgboost_Maryam.csv,
6689b62395fa83730278e754f287d6ca1a836a04,2025-11-16,maryamihsan,Merge branch 'main' of https://github.com/z-aqib/ml-competition,,,
e7c864738edf51d0df85db5ab9df31c3e4e42948,2025-11-16,maryamihsan,experiment 2B,M,02-xgboost.ipynb,
e7c864738edf51d0df85db5ab9df31c3e4e42948,2025-11-16,maryamihsan,experiment 2B,M,logs/experiments_log_Maryam.csv,
e7c864738edf51d0df85db5ab9df31c3e4e42948,2025-11-16,maryamihsan,experiment 2B,M,logs/xgboost_Maryam.csv,
e7c864738edf51d0df85db5ab9df31c3e4e42948,2025-11-16,maryamihsan,experiment 2B,M,submissions/submission.csv,
27eaf77bb7159c7533cb6c57675557c34b7f4548,2025-11-16,Zuha Aqib,Merge branch 'main' of https://github.com/z-aqib/ml-competition,,,
e83fc59edb8a40f175e0c6cb1394f6682e54afc5,2025-11-16,Zuha Aqib,"experiment 15A, 0.4775",M,01-lightgbm.ipynb,
e83fc59edb8a40f175e0c6cb1394f6682e54afc5,2025-11-16,Zuha Aqib,"experiment 15A, 0.4775",M,logs/experiments_log_Zuha.csv,
e83fc59edb8a40f175e0c6cb1394f6682e54afc5,2025-11-16,Zuha Aqib,"experiment 15A, 0.4775",M,logs/lightgbm_Zuha.csv,
e83fc59edb8a40f175e0c6cb1394f6682e54afc5,2025-11-16,Zuha Aqib,"experiment 15A, 0.4775",M,submissions/submission.csv,
b34b357c24daab68edaf3899d9def160bd2bb83a,2025-11-16,Zuha Aqib,"experiment 16A, 0.5647",M,04-logregression.ipynb,
b34b357c24daab68edaf3899d9def160bd2bb83a,2025-11-16,Zuha Aqib,"experiment 16A, 0.5647",M,logs/experiments_log_Zuha.csv,
b34b357c24daab68edaf3899d9def160bd2bb83a,2025-11-16,Zuha Aqib,"experiment 16A, 0.5647",M,logs/logreg_Zuha.csv,
b34b357c24daab68edaf3899d9def160bd2bb83a,2025-11-16,Zuha Aqib,"experiment 16A, 0.5647",M,submissions/logreg.csv,
97044bacbb236cbbc4aa8f91af6c1b3ea39ada31,2025-11-16,Maham Junaid,Merge branch 'main' of https://github.com/z-aqib/ml-competition,,,
f36a611796eb7e88962e6d1b790156d6f0e3360a,2025-11-16,Maham Junaid,experiment 1C,M,03-mlp.ipynb,
f36a611796eb7e88962e6d1b790156d6f0e3360a,2025-11-16,Maham Junaid,experiment 1C,M,README.md,
f36a611796eb7e88962e6d1b790156d6f0e3360a,2025-11-16,Maham Junaid,experiment 1C,A,logs/experiments_log_Maham.csv,
f36a611796eb7e88962e6d1b790156d6f0e3360a,2025-11-16,Maham Junaid,experiment 1C,A,logs/mlp_Maham.csv,
f36a611796eb7e88962e6d1b790156d6f0e3360a,2025-11-16,Maham Junaid,experiment 1C,A,submissions/submission.csv,
6caccb36ee12df4a66687218506c0f3ba28cac71,2025-11-16,Zuha Aqib,"experiment 12A, no change from 10A in test so no submission",M,01-lightgbm.ipynb,
6caccb36ee12df4a66687218506c0f3ba28cac71,2025-11-16,Zuha Aqib,"experiment 12A, no change from 10A in test so no submission",M,logs/experiments_log_Zuha.csv,
6caccb36ee12df4a66687218506c0f3ba28cac71,2025-11-16,Zuha Aqib,"experiment 12A, no change from 10A in test so no submission",M,logs/lightgbm_Zuha.csv,
3cc2581e96e9fd9c0f01e39d261ea2c618a523f2,2025-11-16,Zuha Aqib,"experiment 14A, 0.5989",M,04-logregression.ipynb,
3cc2581e96e9fd9c0f01e39d261ea2c618a523f2,2025-11-16,Zuha Aqib,"experiment 14A, 0.5989",M,logs/experiments_log_Zuha.csv,
3cc2581e96e9fd9c0f01e39d261ea2c618a523f2,2025-11-16,Zuha Aqib,"experiment 14A, 0.5989",M,logs/logreg_Zuha.csv,
3cc2581e96e9fd9c0f01e39d261ea2c618a523f2,2025-11-16,Zuha Aqib,"experiment 14A, 0.5989",M,submissions/logreg.csv,
a264f087596943c1a424b69222e2463a6a1d8e62,2025-11-16,Zuha Aqib,"experiment 13A, 0.5844",M,04-logregression.ipynb,
a264f087596943c1a424b69222e2463a6a1d8e62,2025-11-16,Zuha Aqib,"experiment 13A, 0.5844",M,logs/experiments_log_Zuha.csv,
